access,area,bridge,from,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,uid
,,,"197596419",residential,,"0",,"388.043",,Barry Lane,False,"22768574",,,"197514100",,,"40362"
,,,"197596419",residential,,"0",,"388.043",,Barry Lane,False,"22768574",,,"197514100",,,"40361"
,,,"197514553",residential,,"0",,"118.793",,Forest Park Drive,False,"19058927",,,"197514551",,,"40477"
,,,"197596419",residential,,"0",,"388.043",,Barry Lane,False,"22768574",,,"197514100",,,"40363"
,,,"197514562",residential,,"0",,"94.928",,Forest Park Drive,False,"19058927",,,"197514553",,,"40479"
,,,"197514566",residential,,"0",,"103.805",,Forest Park Drive,False,"19058928",,,"197514553",,,"40478"
,,,"197554893",residential,,"0",,"363.454",,Alaska Avenue,False,"19062269",,,"197514566",,,"40481"
,,,"197554893",residential,,"0",,"363.454",,Alaska Avenue,False,"19062269",,,"197514566",,,"40480"
yes,,,"197522717",tertiary,,"0","2","136.807",35 mph,Clifton Avenue,False,"251071296",,,"197510907",,,"39748"
,,,"197510909",residential,,"0",,"117.456",,Rural Lane,False,"19058606",,,"197510907",,,"39747"
,,,"2700942130",residential,,"0",,"86.81",,Irma Avenue,False,"19058697",,,"197512101",,,"39955"
yes,,,"197522045",tertiary,,"0","2","30.748",35 mph,Clifton Avenue,False,"251071296",,,"197510907",,,"39749"
yes,,,"197571207",tertiary,,"0","2","120.394",25 mph,Jefferson Avenue,False,"19063314",,,"197512101",,,"39957"
yes,,,"197571212",tertiary,,"0","2","118.578",25 mph,Jefferson Avenue,False,"19063314",,,"197512101",,,"39956"
,,,"197596419",residential,,"0",,"388.043",,Barry Lane,False,"22768574",,,"197514100",,,"40360"
,,,"2471133018",residential,,"0",,"128.968",,Barry Lane,False,"19064913",,,"197514100",,,"40359"
,,,"2880570460",residential,,"0",,"171.463",,Paris Street,False,"19059274",,,"197518784",,,"41427"
yes,,,"413258399",residential,,"0","1","157.75600000000003",,Old McMillan Street,False,"19059179",,,"197517541",,,"41173"
,,,"197567923",residential,,"0",,"243.14299999999997",25 mph,Kinsey Avenue,False,"19068047",,,"197518784",,,"41429"
,,,"2880570460",residential,,"0",,"171.463",,Paris Street,False,"19059274",,,"197518784",,,"41428"
,,,"197567923",residential,,"0",,"243.14299999999997",25 mph,Kinsey Avenue,False,"19068047",,,"197518784",,,"41431"
,,,"197567923",residential,,"0",,"243.14299999999997",25 mph,Kinsey Avenue,False,"19068047",,,"197518784",,,"41430"
yes,,,"197519282",residential,,"0","1.5","62.596999999999994",,Emming Street,False,"19059313",,,"197519280",,,"41493"
yes,,,"197522801",tertiary,,"0","2","100.009",35 mph,Clifton Avenue,False,"19059605",,,"197519280",,,"41492"
,,,"197554893",residential,,"0",,"363.454",,Alaska Avenue,False,"19062269",,,"197514566",,,"40483"
,,,"197554893",residential,,"0",,"363.454",,Alaska Avenue,False,"19062269",,,"197514566",,,"40482"
,,,"197573539",residential,,"0",,"91.966",,Maculey Street,False,"19063438",,,"197516149",,,"40864"
yes,,,"197516149",secondary,,"0","3","106.85799999999999",30 mph,East McMillan Street,True,"[19059060, 562061717]",,,"2880570458",,,"40863"
,,,"197606574",residential,,"0",,"60.618",,Graham Street,False,"19071019",,,"197516329",,,"40943"
